model,en_llmwiki,pt_llmwiki,language_delta,inverse_info_delta_en,inverse_info_delta_pt
gemini-2.5-pro,0.7555555555555555,1,0.24444444444444446,-0.24444444444444446,0
gpt-4o,0.7333333333333333,1,0.2666666666666667,-0.2666666666666667,0
claude-sonnet-4.6,0.6666666666666666,1,0.33333333333333337,-0.33333333333333337,0
kimi-k2.5,0.6222222222222222,1,0.37777777777777777,-0.37777777777777777,0
deepseek-r1,0.5666666666666667,1,0.43333333333333335,-0.43333333333333335,0
gemini-2.5-flash,0.7555555555555555,1,0.24444444444444446,-0.24444444444444446,0
gpt-4o-mini,0.7111111111111111,1,0.28888888888888886,-0.28888888888888886,0
claude-haiku-4.5,0.611111111111111,1,0.38888888888888895,-0.38888888888888895,0
qwen-3.7-max,0.7333333333333334,1,0.2666666666666666,-0.2666666666666666,0
qwen-3.7-plus,0.6666666666666666,1,0.33333333333333337,-0.33333333333333337,0
